"Season" "Team" "Player" "Position" "Matches" "Goals"
"4657" "2009-10" "Osasuna" "Ion Echaide Sola" "Defender" 1 0
"4661" "2009-10" "Almer°a" "M°chel Macedo Rocha Machado" "Defender" 19 1
"4662" "2009-10" "Almer°a" "Domingo Cisma Gonz†lez" "Midfielder" 25 3
"4663" "2009-10" "Almer°a" "Wilmer Santiago Acasiete Ariadela" "Defender" 29 0
"4664" "2009-10" "Almer°a" "JosÇ Manuel Flores Moreno" "Defender" 25 0
"4665" "2009-10" "Almer°a" "Hern†n Dar°o Bernardello" "Midfielder" 30 0
"4666" "2009-10" "Almer°a" "Fernando Soriano Marco" "Midfielder" 25 7
"4667" "2009-10" "Almer°a" "Modeste M'Bami" "Midfielder" 22 0
"4668" "2009-10" "Almer°a" "Albert Crusat Domene" "Forward" 13 7
"4669" "2009-10" "Almer°a" "Pablo Daniel Piatti" "Forward" 13 7
"4670" "2009-10" "Almer°a" "Kalu Tongololiki Mawakavamba Jawarapawara Uche" "Forward" 18 9
"4671" "2009-10" "Almer°a" "Juan Manuel Ortiz Palaz¢n" "Midfielder" 15 2
"4672" "2009-10" "Almer°a" "Hern†n Dar°o Pellerano" "Defender" 16 0
"4673" "2009-10" "Almer°a" "Miguel µngel Garc°a PÇrez-Rold†n" "Midfielder" 6 1
"4674" "2009-10" "Almer°a" "Henok Goitom" "Forward" 4 1
"4675" "2009-10" "Almer°a" "Guilherme Oliveira Santos" "Midfielder" 7 1
"4678" "2009-10" "Almer°a" "Fabi†n AndrÇs Vargas Rivera" "Midfielder" 2 0
"4679" "2009-10" "Almer°a" "David Rodr°guez S†nchez" "Forward" 1 1
"4680" "2009-10" "Almer°a" "Leonardo Luis Borzani" "Midfielder" 2 0
"4683" "2009-10" "Real Zaragoza" "Jiri Jarosik" "Defender" 20 2
"4684" "2009-10" "Real Zaragoza" "RubÇn Mart°n Pulido" "Defender" 17 2
"4685" "2009-10" "Real Zaragoza" "Leonardo Daniel Ponzio" "Midfielder" 30 1
"4686" "2009-10" "Real Zaragoza" "Gabriel Fern†ndez Arenas" "Midfielder" 22 1
"4687" "2009-10" "Real Zaragoza" "Ander Herrera AgÅera" "Midfielder" 13 2
"4688" "2009-10" "Real Zaragoza" "Jorge L¢pez Monta§a" "Midfielder" 14 2
"4689" "2009-10" "Real Zaragoza" "Abel Enrique Aguilar Tapia" "Midfielder" 10 4
"4690" "2009-10" "Real Zaragoza" "Eliseu Pereira Dos Santos" "Midfielder" 8 2
"4691" "2009-10" "Real Zaragoza" "µngel Javier Arizmendi De Lucas" "Forward" 9 5
"4692" "2009-10" "Real Zaragoza" "Humberto AndrÇs Suazo Pontivo" "Forward" 10 6
"4693" "2009-10" "Real Zaragoza" "Javier Paredes Arango" "Midfielder" 12 0
"4694" "2009-10" "Real Zaragoza" "Jermaine Lloyd Pennant" "Midfielder" 4 0
"4695" "2009-10" "Real Zaragoza" "JosÇ Edmilson Gomes Moraes" "Midfielder" 10 0
"4696" "2009-10" "Real Zaragoza" "Matteo Contini" "Defender" 13 1
"4697" "2009-10" "Real Zaragoza" "Carlos AndrÇs Diogo Ense§at" "Midfielder" 12 2
"4698" "2009-10" "Real Zaragoza" "Roberto Fabi†n Ayala" "Defender" 12 0
"4699" "2009-10" "Real Zaragoza" "Marko Babic" "Defender" 3 0
"4700" "2009-10" "Real Zaragoza" "Francisco Pav¢n Barahona" "Defender" 10 2
"4701" "2009-10" "Real Zaragoza" "Adri†n Colunga PÇrez" "Forward" 6 7
"4702" "2009-10" "Real Zaragoza" "Pablo Amo Aguado" "Defender" 7 0
"4703" "2009-10" "Real Zaragoza" "Ivan Obradovic" "Defender" 4 0
"4704" "2009-10" "Real Zaragoza" "Ra£l Goni Bayo" "Defender" 6 0
"4705" "2009-10" "Real Zaragoza" "Ewerthon Henrique De Souza" "Forward" 1 2
"4706" "2009-10" "Real Zaragoza" "V°ctor Laguardia Cisneros" "Defender" 3 0
"4712" "2009-10" "Sporting de Gij¢n" "Alberto Lora Ramos" "Midfielder" 29 0
"4713" "2009-10" "Sporting de Gij¢n" "Roberto Canella Su†rez" "Midfielder" 25 1
"4714" "2009-10" "Sporting de Gij¢n" "Alberto Tom†s Bot°a Rabasco" "Defender" 25 0
"4715" "2009-10" "Sporting de Gij¢n" "Gregory Arnolin" "Defender" 33 2
"4716" "2009-10" "Sporting de Gij¢n" "Alberto Rivera Pizarro" "Midfielder" 34 1
"4717" "2009-10" "Sporting de Gij¢n" "Miguel µngel De las Cuevas Barber†" "Midfielder" 11 8
"4718" "2009-10" "Sporting de Gij¢n" "Diego Camacho Quesada" "Midfielder" 11 0
"4719" "2009-10" "Sporting de Gij¢n" "Diego Castro JimÇnez" "Forward" 18 10
"4720" "2009-10" "Sporting de Gij¢n" "David Barral Torres" "Forward" 10 4
"4721" "2009-10" "Sporting de Gij¢n" "Luis Mor†n S†nchez" "Forward" 10 4
"4722" "2009-10" "Sporting de Gij¢n" "Mate Bilic" "Forward" 8 5
"4724" "2009-10" "Sporting de Gij¢n" "Rafel Sastre Reus" "Midfielder" 9 0
"4725" "2009-10" "Sporting de Gij¢n" "Miguel Marcos Madera" "Midfielder" 8 0
"4726" "2009-10" "Sporting de Gij¢n" "JosÇ µngel ValdÇs D°az" "Midfielder" 8 0
"4727" "2009-10" "Sporting de Gij¢n" "Francisco JosÇ Maldonado Collante" "Forward" 1 0
"4728" "2009-10" "Sporting de Gij¢n" "Iv†n Hern†ndez Soto" "Defender" 7 0
"4729" "2009-10" "Sporting de Gij¢n" "Sergio Matabuena Delgado" "Defender" 2 0
"4731" "2009-10" "Sporting de Gij¢n" "Gerard Autet Serrabasa" "Defender" 7 0
"4732" "2009-10" "Sporting de Gij¢n" "Pedro Santa Cec°lia Garc°a" "Midfielder" 2 0
"4733" "2009-10" "Sporting de Gij¢n" "Cristian Portilla Rodr°guez" "Midfielder" 1 0
"4735" "2009-10" "Sporting de Gij¢n" "Marcos Landeira µlvarez" "Midfielder" 1 0
"4736" "2009-10" "Sporting de Gij¢n" "Sergio µlvarez D°az" "Midfielder" 1 0
"4738" "2009-10" "Racing de Santander" "Pablo Pinillos Caro" "Midfielder" 19 0
"4739" "2009-10" "Racing de Santander" "Christian Fern†ndez Salas" "Midfielder" 26 2
"4740" "2009-10" "Racing de Santander" "Marc Torrej¢n Moya" "Defender" 26 0
"4741" "2009-10" "Racing de Santander" "Henrique Adriano Buss" "Defender" 21 1
"4742" "2009-10" "Racing de Santander" "Mehdi Gregory Giuseppe Lacen" "Midfielder" 26 3
"4743" "2009-10" "Racing de Santander" "Gonzalo Colsa Albendea" "Midfielder" 26 3
"4744" "2009-10" "Racing de Santander" "Papakouly Diop" "Midfielder" 14 1
"4745" "2009-10" "Racing de Santander" "Mohammed TchitÇ" "Forward" 8 11
"4746" "2009-10" "Racing de Santander" "„scar Serrano Rodr°guez" "Forward" 11 3
"4747" "2009-10" "Racing de Santander" "Pedro Munitis µlvarez" "Forward" 15 0
"4748" "2009-10" "Racing de Santander" "Manuel Jes£s Arana Rodr°guez" "Midfielder" 11 4
"4749" "2009-10" "Racing de Santander" "Sergio Canales Madrazo" "Midfielder" 9 6
"4750" "2009-10" "Racing de Santander" "Oriol Lozano Farr†n" "Defender" 13 0
"4751" "2009-10" "Racing de Santander" "Francisco JimÇnez Tejada" "Forward" 3 3
"4752" "2009-10" "Racing de Santander" "Antonio Del Moral Segura" "Midfielder" 1 1
"4753" "2009-10" "Racing de Santander" "JosÇ µngel Crespo Rinc¢n" "Midfielder" 11 0
"4754" "2009-10" "Racing de Santander" "Alexandre Geijo Pazos" "Forward" 2 1
"4755" "2009-10" "Racing de Santander" "JosÇ Morat¢n Tae§o" "Defender" 7 0
"4756" "2009-10" "Racing de Santander" "Nasief Morris" "Defender" 7 1
"4757" "2009-10" "Racing de Santander" "Luis Javier Garc°a Sanz" "Forward" 3 0
"4758" "2009-10" "Racing de Santander" "Iv†n Bolado Palacios" "Forward" 1 2
"4759" "2009-10" "Racing de Santander" "Laszlo Sepsi" "Defender" 4 0
"4761" "2009-10" "Racing de Santander" "Osmar Barba Ib†§ez" "Defender" 1 0
"4765" "2009-10" "M†laga" "Jes£s G†mez Duarte" "Midfielder" 30 0
"4766" "2009-10" "M†laga" "Patrick Jan Mtiliga" "Defender" 18 0
"4767" "2009-10" "M†laga" "Weligton Robson Pena De Oliveira" "Defender" 18 3
"4768" "2009-10" "M†laga" "Iv†n Gonz†lez L¢pez" "Defender" 21 1
"4769" "2009-10" "M†laga" "Sergio Paulo Barbosa Valente" "Midfielder" 25 8
"4770" "2009-10" "M†laga" "Juan Jes£s GutiÇrrez Robles" "Midfielder" 17 0
"4771" "2009-10" "M†laga" "Selim Benachour" "Midfielder" 6 0
"4772" "2009-10" "M†laga" "Fernando Miguel Fern†ndez Escribano" "Forward" 14 5
"4773" "2009-10" "M†laga" "Nabil Baha" "Forward" 13 5
"4774" "2009-10" "M†laga" "Victor Nsofor Obinna" "Forward" 10 4
"4775" "2009-10" "M†laga" "Antonio Galdeano Ben°tez" "Midfielder" 15 2
"4776" "2009-10" "M†laga" "Daniel Toribio GutiÇrrez" "Midfielder" 13 0
"4777" "2009-10" "M†laga" "Manuel Torres Caturla" "Midfielder" 12 1
"4778" "2009-10" "M†laga" "Felipe Salvador Caicedo Corozo" "Forward" 3 4
"4779" "2009-10" "M†laga" "Valmiro Lopes Rocha" "Midfielder" 6 2
"4780" "2009-10" "M†laga" "Manuel Gaspar Haro" "Midfielder" 12 0
"4781" "2009-10" "M†laga" "Fernando Mart°n Forestieri" "Forward" 2 1
"4782" "2009-10" "M†laga" "Milan Stepanov" "Defender" 9 0
"4783" "2009-10" "M†laga" "Xavier Torres Buigues" "Midfielder" 4 1
"4785" "2009-10" "M†laga" "Francisco Javier L¢pez D°az" "Midfielder" 3 2
"4786" "2009-10" "M†laga" "Arnaldo Edi Lopes Da Silva" "Forward" 1 2
"4787" "2009-10" "M†laga" "Daniel Orozco µlvarez" "Defender" 4 0
"4788" "2009-10" "M†laga" "Ib†n Javier Cuadrado Alonso" "Defender" 3 0
"4789" "2009-10" "M†laga" "HÇlder Miguel Do Rosario" "Defender" 2 0
"4794" "2009-10" "Valladolid" "Pedro L¢pez Mu§oz" "Midfielder" 26 0
"4795" "2009-10" "Valladolid" "Nivaldo Batista Santana" "Defender" 20 2
"4796" "2009-10" "Valladolid" "Luis Prieto Zalbidegoitia" "Defender" 14 0
"4797" "2009-10" "Valladolid" "Javier Baraja Vegas" "Defender" 14 2
"4798" "2009-10" "Valladolid" "Borja Fern†ndez Fern†ndez" "Midfielder" 19 0
"4799" "2009-10" "Valladolid" "Nauzet Alem†n Viera" "Midfielder" 7 6
"4800" "2009-10" "Valladolid" "V°tor Hugo Gomes Passos" "Midfielder" 16 0
"4801" "2009-10" "Valladolid" "Diego Da Silva Costa" "Forward" 28 8
"4802" "2009-10" "Valladolid" "NÇstor Fabi†n Canobbio Bentaberry" "Forward" 12 1
"4803" "2009-10" "Valladolid" "Mateus Alberto Contreiras Gonáalves" "Forward" 10 4
"4804" "2009-10" "Valladolid" "CÇsar Arzo Amposta" "Defender" 16 1
"4805" "2009-10" "Valladolid" "Alberto Marcos Rey" "Midfielder" 12 0
"4806" "2009-10" "Valladolid" "Haris Medunjanin" "Midfielder" 4 5
"4807" "2009-10" "Valladolid" "µlvaro Rubio Robres" "Midfielder" 13 0
"4808" "2009-10" "Valladolid" "Antonio Barrag†n Fern†ndez" "Midfielder" 12 0
"4809" "2009-10" "Valladolid" "Marcos Garc°a Barreno" "Midfielder" 2 2
"4810" "2009-10" "Valladolid" "Jonathan Sesma Gonz†lez" "Forward" 2 1
"4811" "2009-10" "Valladolid" "Alberto Bueno Calvo" "Forward" 3 1
"4812" "2009-10" "Valladolid" "Henrique Sereno Fonseca" "Defender" 12 0
"4813" "2009-10" "Valladolid" "HÇctor Font Romero" "Midfielder" 1 0
"4814" "2009-10" "Valladolid" "Carlos L†zaro Vallejo" "Midfielder" 4 0
"4815" "2009-10" "Valladolid" "Sisinio Gonz†lez Mart°nez" "Midfielder" 1 1
"4816" "2009-10" "Valladolid" "Ra£l Rodr°guez Navas" "Defender" 1 0
"4817" "2009-10" "Valladolid" "Yuri Berchiche Izeta" "Midfielder" 1 0
"4820" "2009-10" "Tenerife" "Marc Bertr†n Vilanova" "Midfielder" 19 1
"4821" "2009-10" "Tenerife" "Pablo Sicilia Roig" "Midfielder" 32 0
"4822" "2009-10" "Tenerife" "Manuel Mart°nez Lara" "Defender" 23 0
"4823" "2009-10" "Tenerife" "Ezequiel Esteban Luna" "Defender" 19 0
"4824" "2009-10" "Tenerife" "Juan Luis Hens Lorite" "Midfielder" 11 4
"4825" "2009-10" "Tenerife" "Ricardo Le¢n Brito" "Midfielder" 24 2
"4826" "2009-10" "Tenerife" "Mikel Alonso Olano" "Midfielder" 18 1
"4827" "2009-10" "Tenerife" "Juan Francisco Mart°nez Modesto" "Forward" 36 14
"4828" "2009-10" "Tenerife" "Alejandro Alfaro Ligero" "Forward" 22 7
"4829" "2009-10" "Tenerife" "Ricardo PÇrez de Zabalza Goytre" "Forward" 8 1
"4830" "2009-10" "Tenerife" "Daniel Armand Ngom Kome" "Midfielder" 1 0
"4831" "2009-10" "Tenerife" "Ayoze Garc°a PÇrez" "Midfielder" 7 3
"4832" "2009-10" "Tenerife" "Rom†n Fernando Mart°nez" "Midfielder" 10 5
"4833" "2009-10" "Tenerife" "JosÇ Antonio Culebras Arenas" "Defender" 12 1
"4834" "2009-10" "Tenerife" "Juli†n Omar Ramos Su†rez" "Midfielder" 1 0
"4835" "2009-10" "Tenerife" "Carlos Bellv°s Llorens" "Midfielder" 12 0
"4838" "2009-10" "Tenerife" "HÇctor S†nchez Cabrera" "Midfielder" 9 0
"4841" "2009-10" "Xerez" "Francisco Jes£s PÇrez Malia" "Midfielder" 22 1
"4842" "2009-10" "Xerez" "JosÇ Manuel Casado Bizcocho" "Midfielder" 22 0
"4843" "2009-10" "Xerez" "Aythami Artiles Oliva" "Defender" 28 2
"4844" "2009-10" "Xerez" "Leandro AndrÇs Gioda" "Defender" 27 2
"4845" "2009-10" "Xerez" "Carlos Calvo Sobrado" "Midfielder" 7 4
"4846" "2009-10" "Xerez" "Sidi Yaya Keita" "Midfielder" 15 0
"4847" "2009-10" "Xerez" "Jer¢nimo Figueroa Cabrera" "Midfielder" 7 2
"4848" "2009-10" "Xerez" "V°ctor S†nchez Mata" "Midfielder" 18 2
"4849" "2009-10" "Xerez" "Mario Bermejo Castanedo" "Forward" 25 12
"4850" "2009-10" "Xerez" "Fabi†n Ariel Orellana Valenzuela" "Forward" 10 2
"4851" "2009-10" "Xerez" "Alejandro Berganti§os Garc°a" "Midfielder" 17 0
"4852" "2009-10" "Xerez" "David Prieto G†lvez" "Defender" 17 0
"4853" "2009-10" "Xerez" "Emiliano Daniel Armenteros" "Midfielder" 9 3
"4854" "2009-10" "Xerez" "Vicente Moreno Peris" "Midfielder" 8 1
"4856" "2009-10" "Xerez" "Juan Luis Fern†ndez Redondo" "Midfielder" 9 0
"4857" "2009-10" "Xerez" "Abel G¢mez Moreno" "Midfielder" 3 0
"4858" "2009-10" "Xerez" "Jes£s Mendoza Aguirre" "Midfielder" 8 0
"4859" "2009-10" "Xerez" "Emilio JosÇ Viqueira Moure" "Midfielder" 2 0
"4860" "2009-10" "Xerez" "Miguel Carrilero Gonz†lez" "Forward" 2 2
"4863" "2010-11" "Barcelona" "Daniel Alves Da Silva" "Midfielder" 30 2
"4864" "2010-11" "Barcelona" "êric Sylvain Abidal" "Midfielder" 20 0
"4865" "2010-11" "Barcelona" "Gerard PiquÇ Bernabeu" "Defender" 27 3
"4866" "2010-11" "Barcelona" "Maxwell Scherrer Cabelino Andrade" "Midfielder" 16 0
"4867" "2010-11" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 19 8
"4868" "2010-11" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 15 3
"4869" "2010-11" "Barcelona" "Sergio Busquets Burgos" "Midfielder" 23 1
"4870" "2010-11" "Barcelona" "David Villa S†nchez" "Forward" 15 18
"4871" "2010-11" "Barcelona" "Lionel AndrÇs Messi Cuccittini" "Forward" 30 31
"4872" "2010-11" "Barcelona" "Pedro Eliezer Rodr°guez Ledesma" "Forward" 5 13
"4873" "2010-11" "Barcelona" "Seydou Keita" "Midfielder" 11 3
"4874" "2010-11" "Barcelona" "Javier Alejandro Mascherano" "Midfielder" 12 0
"4875" "2010-11" "Barcelona" "Bojan Krkic PÇrez" "Forward" 3 6
"4876" "2010-11" "Barcelona" "Carles Puyol Saforcada" "Defender" 13 1
"4877" "2010-11" "Barcelona" "Adriano Correia Claro" "Midfielder" 4 0
"4878" "2010-11" "Barcelona" "Ibrahim Afellay" "Forward" 5 1
"4879" "2010-11" "Barcelona" "Gabriel Alejandro Milito" "Defender" 3 0
"4880" "2010-11" "Barcelona" "Thiago Alc†ntara Do Nascimento" "Midfielder" 5 2
"4881" "2010-11" "Barcelona" "Jeffren Isaac Su†rez Berm£dez" "Forward" 2 1
"4882" "2010-11" "Barcelona" "Andreu FontÖs Prat" "Defender" 4 0
"4883" "2010-11" "Barcelona" "Marc Bartra Aregall" "Defender" 2 1
"4887" "2010-11" "Barcelona" "Sergi Roberto Carnicer" "Midfielder" 1 0
"4889" "2010-11" "Real Madrid" "Sergio Ramos Garc°a" "Midfielder" 29 3
"4890" "2010-11" "Real Madrid" "Marcelo Vieira Da Silva Junior" "Midfielder" 27 3
"4891" "2010-11" "Real Madrid" "Ricardo Alberto Silveira Carvalho" "Defender" 27 3
"4892" "2010-11" "Real Madrid" "KÇpler Laveran Lima Ferreira" "Defender" 23 1
"4893" "2010-11" "Real Madrid" "Mesut ôzil" "Midfielder" 8 6
"4894" "2010-11" "Real Madrid" "Xabier Alonso Olano" "Midfielder" 26 0
"4895" "2010-11" "Real Madrid" "Sami Khedira" "Midfielder" 16 0
"4896" "2010-11" "Real Madrid" "Cristiano Ronaldo Dos Santos Aveiro" "Forward" 30 40
"4897" "2010-11" "Real Madrid" "µngel Fabi†n Di Mar°a Hern†ndez" "Forward" 11 6
"4898" "2010-11" "Real Madrid" "Karim Mostafa Benzema" "Forward" 9 15
"4899" "2010-11" "Real Madrid" "µlvaro Arbeloa Coca" "Midfielder" 17 0
"4900" "2010-11" "Real Madrid" "Lassana Diarra" "Midfielder" 14 0
"4901" "2010-11" "Real Madrid" "Ra£l Albiol Tortajada" "Defender" 9 0
"4902" "2010-11" "Real Madrid" "Gonzalo Gerardo Higua°n" "Forward" 4 10
"4903" "2010-11" "Real Madrid" "Esteban FÇlix Granero Molina" "Midfielder" 2 1
"4904" "2010-11" "Real Madrid" "Ricardo Izecson Dos Santos Leite" "Midfielder" 3 7
"4905" "2010-11" "Real Madrid" "Shergay Emmanuel Adebayor" "Forward" 5 5
"4907" "2010-11" "Real Madrid" "Ezequiel Marcelo Garay Gonz†lez" "Defender" 2 0
"4911" "2010-11" "Real Madrid" "JosÇ Ignacio Fern†ndez Iglesias" "Defender" 1 0
"4916" "2010-11" "Valencia" "Luis Miguel Brito Garc°a Monteiro" "Midfielder" 17 0
"4917" "2010-11" "Valencia" "Jeremy Mathieu" "Midfielder" 15 1
"4918" "2010-11" "Valencia" "Ricardo Miguel Moreira da Costa" "Defender" 25 0
"4919" "2010-11" "Valencia" "Mehmet Topal" "Midfielder" 19 1
"4920" "2010-11" "Valencia" "Ever Maximiliano David Banega" "Midfielder" 8 2
"4921" "2010-11" "Valencia" "Juan Manuel Mata Garc°a" "Forward" 16 8
"4922" "2010-11" "Valencia" "Roberto Soldado Rillo" "Forward" 17 18
"4923" "2010-11" "Valencia" "Joaqu°n S†nchez Rodr°guez" "Forward" 16 4
"4924" "2010-11" "Valencia" "Aritz Aduriz Zubeldia" "Forward" 12 10
"4925" "2010-11" "Valencia" "Pablo Hern†ndez Dom°nguez" "Forward" 12 5
"4926" "2010-11" "Valencia" "Jordi Alba Ramos" "Midfielder" 12 2
"4927" "2010-11" "Valencia" "Alberto Facundo Costa" "Midfielder" 13 4
"4928" "2010-11" "Valencia" "Marius Stankevicius" "Midfielder" 16 2
"4929" "2010-11" "Valencia" "Bruno Saltor Grau" "Midfielder" 14 0
"4930" "2010-11" "Valencia" "Hedwiges Mart°nez Maduro" "Midfielder" 14 1
"4931" "2010-11" "Valencia" "David Navarro Pedr¢s" "Defender" 12 1
"4932" "2010-11" "Valencia" "David Albelda AliquÇs" "Midfielder" 8 0
"4933" "2010-11" "Valencia" "µngel Dealbert Ib†§ez" "Defender" 9 0
"4934" "2010-11" "Valencia" "Jonas Gonáalves Oliveira" "Forward" 1 3
"4935" "2010-11" "Valencia" "Vicente Rodr°guez GuillÇn" "Midfielder" 1 1
"4937" "2010-11" "Valencia" "Manuel Henrique Tavares Fernandes" "Midfielder" 5 0
"4939" "2010-11" "Villarreal" "Mateo Pablo Musacchio" "Defender" 24 0
"4940" "2010-11" "Villarreal" "Joan Capdevila MÇndez" "Midfielder" 27 2
"4941" "2010-11" "Villarreal" "Carlos Marchena L¢pez" "Defender" 22 1
"4942" "2010-11" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 19 1
"4943" "2010-11" "Villarreal" "Bruno Soriano Llido" "Midfielder" 36 0
"4944" "2010-11" "Villarreal" "Santiago Cazorla Gonz†lez" "Midfielder" 20 5
"4945" "2010-11" "Villarreal" "Borja Valero Iglesias" "Midfielder" 22 3
"4946" "2010-11" "Villarreal" "RubÇn Gracia Calmache" "Midfielder" 7 5
"4947" "2010-11" "Villarreal" "Giuseppe Rossi" "Forward" 17 18
"4948" "2010-11" "Villarreal" "Nilmar Honorato Da Silva" "Forward" 14 11
"4949" "2010-11" "Villarreal" "Mario Gaspar PÇrez Mart°nez" "Midfielder" 20 0
"4950" "2010-11" "Villarreal" "Marco Gast¢n RubÇn Rodr°guez" "Forward" 6 5
"4951" "2010-11" "Villarreal" "µngel Domingo L¢pez Ruano" "Midfielder" 17 0
"4952" "2010-11" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 8 1
"4953" "2010-11" "Villarreal" "JosÇ Manuel Catal† Mazuecos" "Defender" 9 1
"4954" "2010-11" "Villarreal" "Javier Magro Matilla" "Midfielder" 1 0
"4955" "2010-11" "Villarreal" "Wakaso Mubarak" "Midfielder" 1 0
"4958" "2010-11" "Villarreal" "Francisco JosÇ Olivas Alba" "Defender" 1 0
"4962" "2010-11" "Villarreal" "Carlos Tom†s Ferrer" "Defender" 1 0
"4965" "2010-11" "Sevilla" "Mouhamadou Dabo" "Midfielder" 17 0
"4966" "2010-11" "Sevilla" "Fernando Navarro Corbacho" "Midfielder" 25 0
"4967" "2010-11" "Sevilla" "Julien EscudÇ" "Defender" 26 2
"4968" "2010-11" "Sevilla" "JosÇ Mart°n C†ceres Silva" "Defender" 23 1
"4969" "2010-11" "Sevilla" "Alexis Ruano Delgado" "Defender" 19 0
"4970" "2010-11" "Sevilla" "Diego Perotti" "Midfielder" 17 3
"4971" "2010-11" "Sevilla" "Koffi Christian Ndri" "Midfielder" 11 1
"4972" "2010-11" "Sevilla" "Diego Capel Trinidad" "Midfielder" 8 0
"4973" "2010-11" "Sevilla" "µlvaro Negredo S†nchez" "Forward" 16 20
"4974" "2010-11" "Sevilla" "Frederic KanoutÇ" "Forward" 14 12
"4975" "2010-11" "Sevilla" "DÇguy Alain Didier Zokora" "Midfielder" 9 0
"4976" "2010-11" "Sevilla" "Renato Dirnei Florencio Santos" "Midfielder" 8 2
"4977" "2010-11" "Sevilla" "Luis Fabiano Clemente" "Forward" 5 10
"4978" "2010-11" "Sevilla" "Federico Juli†n Fazio" "Defender" 15 1
"4979" "2010-11" "Sevilla" "Gary Alexis Medel Soto" "Midfielder" 9 0
"4980" "2010-11" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 14 1
"4981" "2010-11" "Sevilla" "Alejandro Alfaro Ligero" "Forward" 2 2
"4982" "2010-11" "Sevilla" "Ivan Rakitic" "Midfielder" 10 5
"4983" "2010-11" "Sevilla" "Abdoulay Konko" "Midfielder" 7 2
"4984" "2010-11" "Sevilla" "Sergio S†nchez Ortega" "Defender" 5 0
"4986" "2010-11" "Sevilla" "Luca Cigarini" "Midfielder" 1 0
"4987" "2010-11" "Sevilla" "Tiberio Guarente" "Midfielder" 2 0
"4992" "2010-11" "Sevilla" "Bernardo JosÇ Espinosa Z£§iga" "Defender" 1 0
"4994" "2010-11" "Athletic Club" "Andoni Iraola Sagarna" "Midfielder" 36 4
"4995" "2010-11" "Athletic Club" "Mikel San JosÇ Dom°nguez" "Defender" 29 2
"4996" "2010-11" "Athletic Club" "Fernando Gabriel Amorebieta Mardaras" "Defender" 15 0
"4997" "2010-11" "Athletic Club" "Borja Ekiza Imaz" "Defender" 21 0
"4998" "2010-11" "Athletic Club" "Javier Mart°nez Aginaga" "Midfielder" 29 4
"4999" "2010-11" "Athletic Club" "Carlos Gurpegui Nausia" "Midfielder" 19 2
"5000" "2010-11" "Athletic Club" "Pablo Orbaiz Lesaka" "Midfielder" 8 1
"5001" "2010-11" "Athletic Club" "Fernando Javier Llorente Torres" "Forward" 29 18
"5002" "2010-11" "Athletic Club" "Iker Muniain Go§i" "Forward" 11 5
"5003" "2010-11" "Athletic Club" "Gaizka Toquero Pinedo" "Forward" 8 7
"5004" "2010-11" "Athletic Club" "David L¢pez Moreno" "Midfielder" 7 6
"5005" "2010-11" "Athletic Club" "Markel Susaeta Laskurain" "Midfielder" 6 1
"5006" "2010-11" "Athletic Club" "Igor Gabilondo Del Campo" "Midfielder" 3 5
"5007" "2010-11" "Athletic Club" "Koikili Lertxundi Del Campo" "Midfielder" 13 0
"5008" "2010-11" "Athletic Club" "Ander Iturraspe Derteano" "Midfielder" 2 0
"5009" "2010-11" "Athletic Club" "Xabier Castillo Aranburu" "Midfielder" 8 0
"5010" "2010-11" "Athletic Club" "Ustaritz Aldekoaotalora Astarloa" "Defender" 6 0
"5011" "2010-11" "Athletic Club" "Jon Aurtenetxe Borde" "Midfielder" 7 0
"5012" "2010-11" "Athletic Club" "‡scar De Marcos Arana" "Forward" 1 0
"5014" "2010-11" "Athletic Club" "Aitor Ocio Carri¢n" "Defender" 2 0
"5019" "2010-11" "Athletic Club" "Mikel Balenziaga Oruesagasti" "Midfielder" 1 0
"5021" "2010-11" "AtlÇtico de Madrid" "Tomas Ujfalusi" "Midfielder" 31 0
"5022" "2010-11" "AtlÇtico de Madrid" "Filipe Luis Kasmirski" "Midfielder" 20 1
"5023" "2010-11" "AtlÇtico de Madrid" "Luis Amaranto Perea Mosquera" "Defender" 26 0
"5024" "2010-11" "AtlÇtico de Madrid" "Diego Roberto God°n Leal" "Defender" 23 0
"5025" "2010-11" "AtlÇtico de Madrid" "Tiago Cardoso Mendes" "Midfielder" 18 4
"5026" "2010-11" "AtlÇtico de Madrid" "Ra£l Garc°a Escudero" "Midfielder" 6 1
"5027" "2010-11" "AtlÇtico de Madrid" "Mario Su†rez Mata" "Midfielder" 12 2
